"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"9837","South Sudan",1986-05-07,69,10637,54,115,0,950.2,4.8,10.3,0,52,49
"9902","Spain",1986-05-07,69,3567408,43331,78792,576,76300,926.8,1685.2,12.3,61,60
"9959","Sri Lanka",1986-05-07,69,121338,13192,764,86,5666.6,616.1,35.7,4,58,49
"10025","Sudan",1986-05-07,69,34461,517,2365,16,785.9,11.8,53.9,0.4,54,54
"10094","Suriname",1986-05-07,69,10933,570,214,10,18625.2,971,364.6,17,47,45
"10152","Sweden",1986-05-07,69,1007792,34188,14173,125,99791.3,3385.3,1403.4,12.4,61,59
"10226","Switzerland",1986-05-07,69,670613,10639,10702,70,77482.7,1229.2,1236.5,8.1,61,60
"10279","Syria",1986-05-07,69,23256,523,1639,47,1328.8,29.9,93.7,2.7,49,44
"10360","Taiwan",1986-05-07,69,1178,50,12,0,49.5,2.1,0.5,0,59,8
"10399","Tajikistan",1986-05-07,69,13308,0,90,0,1395.3,0,9.4,0,52,52
"10418","Tanzania, United Republic of",1986-05-07,69,509,0,21,0,8.5,0,0.4,0,55,54
"10516","Thailand",1986-05-07,69,78855,13702,363,160,1129.7,196.3,5.2,2.3,59,57
"10576","The Bahamas",1986-05-07,69,10773,320,212,13,27412.2,814.2,539.4,33.1,49,54
"10644","The Gambia",1986-05-07,69,5925,27,175,1,2451.4,11.2,72.4,0.4,41,39
"10699","Timor-Leste",1986-05-07,69,2965,689,4,1,2249.6,522.8,3,0.8,12,0
"10751","Togo",1986-05-07,69,13106,139,124,1,1583,16.8,15,0.1,53,52
"10829","Trinidad and Tobago",1986-05-07,69,12720,1896,196,27,9092.2,1355.3,140.1,19.3,56,38
"10873","Tunisia",1986-05-07,69,318236,9117,11277,555,26925.8,771.4,954.1,47,58,57
"10929","Turkey",1986-05-07,69,4998089,177498,42465,2334,59261.9,2104.6,503.5,27.7,59,58
"11024","Uganda",1986-05-07,69,42224,358,346,4,923.1,7.8,7.6,0.1,52,38
"11059","UK",1986-05-07,69,4446752,14506,127858,83,65503.2,213.7,1883.4,1.2,61,60
"11129","Ukraine",1986-05-07,69,2160809,36739,47717,1794,49408,840.1,1091.1,41,58,57
"11175","United Arab Emirates",1986-05-07,69,532710,12474,1607,20,53863.5,1261.3,162.5,2,59,56
"11274","Uruguay",1986-05-07,69,216146,17718,3032,416,62218.2,5100.2,872.8,119.7,59,54
"11297","USA",1986-05-07,69,32651036,304065,580886,4830,98642.7,918.6,1754.9,14.6,61,61
"11410","Uzbekistan",1986-05-07,69,93597,2789,660,11,2796.5,83.3,19.7,0.3,57,52
"11439","Vanuatu",1986-05-07,69,4,0,1,0,13,0,3.3,0,0,0
"11466","Venezuela",1986-05-07,69,205181,7498,2263,127,7215.5,263.7,79.6,4.5,58,54
"11552","Vietnam",1986-05-07,69,3137,209,35,0,32.2,2.1,0.4,0,58,39
"11605","West Bank and Gaza",1986-05-07,69,300946,4484,3338,89,62697.1,934.2,695.4,18.5,57,44
"11662","Yemen",1986-05-07,69,6446,129,1269,43,216.1,4.3,42.5,1.4,51,51
"11721","Zambia",1986-05-07,69,92004,418,1256,5,5004.6,22.7,68.3,0.3,53,47
"11766","Zimbabwe",1986-05-07,69,38403,146,1576,9,2583.8,9.8,106,0.6,49,43
